title,prediction,vote_average,popularity,release_date,vote_count,budget,revenue,neg,topics
Jurassic World: Fallen Kingdom,7.081541569315009,6.6,100.74,2018-06-06,9413,170000000,1303459585,0.104,"[7.85503553981369e-06,7.944406598306042e-06,6.930481429090281e-06,0.01141051024059657,0.12012486225435191,7.081692106472128e-06,0.48856349885863654,0.3798572797314017,6.796035281564773e-06,7.241264058196506e-06]"
Fast & Furious Presents: Hobbs & Shaw,6.6275946453358765,6.9,150.375,2019-08-01,5483,200000000,760098996,0.121,"[1.078124736025893e-05,1.0903909408398415e-05,9.512271882945141e-06,0.7151061184450912,0.210836312529282,9.719812722270203e-06,9.93383059453032e-06,0.07398745138333719,9.327740965104199e-06,9.93882935591459e-06]"
Bumblebee,6.89486475457817,6.7,76.626,2018-12-15,4711,135000000,467989645,0.107,"[1.4261321990327203e-05,1.4423577801998264e-05,1.2582735228229351e-05,0.38994179584499394,0.2405216574555139,1.2857268131627235e-05,1.314036870298738e-05,0.3694437958071025,1.233863979275181e-05,1.3146980741826348e-05]"
Spider-Man: Far From Home,7.157066476771897,7.5,897.325,2019-06-28,11203,160000000,1131927996,0.084,"[1.2721408810178678e-05,1.2866144451256376e-05,1.1224072363990347e-05,0.038424752304309674,0.1320949806362164,1.1468962049955516e-05,0.008509680864242761,0.8208995718822912,1.1006333958566809e-05,1.1727391305983933e-05]"
John Wick: Chapter 3 - Parabellum,6.660094192271808,7.4,147.501,2019-05-15,7458,55000000,326709727,0.12,"[6.829708567246748e-06,0.41673092490530167,0.010300408768734065,0.15628683424362863,0.06933007617796341,0.01687596982116734,0.016710988906733056,0.3072958037686576,5.908939444575722e-06,0.006456254759802213]"
Greta,6.941448321382192,6.6,83.119,2019-02-28,934,0,0,0.097,"[8.82522553629211e-06,8.925633504972478e-06,7.786479096516838e-06,1.36326014950036e-05,1.1978768569540343e-05,7.956366154185227e-06,0.811961489572863,0.18796363427861498,7.635427322824672e-06,8.1356468426487e-06]"
A Quiet Place Part II,6.87282624504138,7.7,224.144,2021-05-21,3443,61000000,297372261,0.107,"[1.0394405105461852e-05,1.0512668210928439e-05,9.170962655904391e-06,0.013463619227927296,0.1051717090891749,9.37105678733143e-06,9.577395634857003e-06,0.761931862355018,0.11937420062447202,9.582215013300854e-06]"
Sonic the Hedgehog,7.123103137952507,7.4,456.388,2020-02-12,7313,85000000,306766470,0.072,"[0.4012002718687813,1.362110330606509e-05,1.188267318902378e-05,0.020268752910297467,0.0434250087137725,0.0058712468096241074,1.2409282091003472e-05,0.5291727389542965,1.1652158725809156e-05,1.241552591619278e-05]"
Joker,6.814596287821087,8.2,101.748,2019-10-02,19277,55000000,1074251311,0.133,"[0.5265733371873094,7.187431584236947e-06,6.270118791768767e-06,1.0977879354900011e-05,9.646042271873373e-06,6.406921580440567e-06,6.547994087181308e-06,0.4733669266531873,6.148483220435351e-06,6.55128861242021e-06]"
Meander,6.546189202470073,5.8,220.221,2021-05-26,150,0,700000,0.129,"[2.3319106615830823e-05,2.358441874429611e-05,2.0574402732339454e-05,3.602401174137608e-05,3.165214414870882e-05,2.10232994938083e-05,2.148620562452812e-05,0.9997806641185728,2.0175274788773085e-05,2.1497017537421654e-05]"
No Manches Frida 2,6.859497123407045,8.1,101.149,2019-03-15,653,0,0,0.092,"[0.29389805354056453,0.00040937562732080665,0.0003571281700423514,0.0006252669278973561,0.0005494064852926952,0.00036492006643497224,0.0003729551371548226,0.7026995510957167,0.00035020015100175987,0.0003731427985739124]"
Encanto,7.201154436257068,7.4,2579.114,2021-11-24,333,0,151000000,0.054,"[0.06179447027534496,0.007151882231306484,0.025529633197669144,0.05831982443573035,0.012158006890195852,0.10979919500537273,0.03221527455316734,0.6715647564866897,0.021452317516636735,1.4639407886599713e-05]"
Fall in Love at First Kiss,6.559980737058507,6.7,99.543,2019-02-14,71,0,0,0.165,"[0.0003690586983643927,0.00037325760055399016,0.00032561976129759536,0.0005700883697048276,0.000500934757961409,0.5653760321729505,0.00034005035935221226,0.4314854338290137,0.00031930298690240175,0.00034022146389869434]"
La Llorona,6.433574240146731,6.6,81.245,2020-01-22,228,0,0,0.166,"[1.594133129279849e-05,1.6122702644605577e-05,1.4065004343950963e-05,2.4625753341146994e-05,2.163782923172801e-05,1.4371877671726444e-05,1.4688328835550672e-05,0.5895884426803835,1.3792153977135117e-05,0.41027631233827794]"
Money Heist: The Phenomenon,6.955753467058661,7.5,314.125,2020-04-03,917,0,0,0.082,"[4.391079795758886e-05,4.441036622851716e-05,0.3403085347075469,6.783263421727422e-05,5.9601928456156915e-05,3.958767869826758e-05,4.0459348441201185e-05,0.6593171920131075,3.7990815289765184e-05,4.047971005671622e-05]"
Once Upon a Snowman,7.172036337387637,6.9,169.083,2020-10-23,396,0,0,0.022,"[5.8008281324069466e-05,5.866825502216145e-05,5.1180587268259726e-05,0.6652003265435301,7.873690371506064e-05,5.22972535091106e-05,5.3448771429854994e-05,0.3343436700185645,5.018772018827245e-05,5.347566544853465e-05]"
The More the Merrier,6.7036542607838845,6.8,4.356,1943-03-26,54,0,0,0.074,"[8.147693433269872e-05,8.240391107855215e-05,0.34919258232466255,0.00012586206854051657,0.00011059173348645007,7.345536806593711e-05,7.507275178468957e-05,0.576971079746573,7.049236571276377e-05,0.07321698279576298]"
Annette,6.987352419567227,7.1,455.949,2021-07-06,299,15500000,2576020,0.054,"[1.6575758864715858e-05,1.6764345747393295e-05,0.24597282831734343,0.06685181967619515,2.2499096388904554e-05,1.4943839993101073e-05,1.527288423109316e-05,0.607562405472102,1.4341044371193557e-05,0.0795125495647631]"
The Suicide Squad,6.555687323749534,7.8,507.489,2021-07-28,4990,180000000,167381210,0.132,"[8.722354000976555e-06,8.821590120309353e-06,7.69571506831476e-06,1.3473662014986031e-05,0.9998915270013486,7.863621835168692e-06,8.036768750020116e-06,3.8272050256405214e-05,7.546424027389488e-06,8.040812577750454e-06]"
Jungle Cruise,6.987352419567227,7.7,517.242,2021-07-28,3537,200000000,217000000,0.081,"[1.2296084767368296e-05,1.243597980571794e-05,1.0848809643184744e-05,1.8994487084483758e-05,0.8682000866166961,1.1085511322116446e-05,1.1329600154093193e-05,0.13170094925868456,1.0638350963759293e-05,1.1335300878770365e-05]"
Resident Evil: Welcome to Raccoon City,6.4626923390161615,5.9,432.436,2021-01-06,140,40000000,24000000,0.131,"[1.3942266604163374e-05,1.4100891426701715e-05,1.230123379646531e-05,2.153738429543391e-05,0.7180302034824889,1.256962454955514e-05,1.2846391633989643e-05,0.28185758326997823,1.206259905533592e-05,1.2852856171343566e-05]"
Finch,6.987352419567227,8.2,1039.612,2021-11-04,1453,0,0,0.071,"[1.8884949819939663e-05,1.9099812103392303e-05,1.6662154405561352e-05,2.9172013266982464e-05,2.563366506844283e-05,1.7025692921547513e-05,1.740057654365526e-05,0.9998223728819232,1.633892124296755e-05,1.7409332704296424e-05]"
